species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.2,19.6,195,4675,MALE
Adelie,Torgersen,34.6,21.1,198,4400,MALE
Adelie,Torgersen,42.5,20.7,197,4500,MALE
Adelie,Torgersen,46,21.5,194,4200,MALE
Adelie,Dream,39.2,21.1,196,4150,MALE
Adelie,Dream,44.1,19.7,196,4400,MALE
Adelie,Dream,42.3,21.2,191,4150,MALE
Adelie,Biscoe,42,19.5,200,4050,MALE
Adelie,Biscoe,41.3,21.1,195,4400,MALE
Adelie,Biscoe,41.1,18.2,192,4050,MALE
Adelie,Torgersen,41.8,19.4,198,4450,MALE
Adelie,Torgersen,45.8,18.9,197,4150,MALE
Adelie,Torgersen,42.8,18.5,195,4250,MALE
Adelie,Torgersen,42.9,17.6,196,4700,MALE
Adelie,Torgersen,35.1,19.4,193,4200,MALE
Adelie,Dream,41.1,18.1,205,4300,MALE
Adelie,Dream,40.8,18.9,208,4300,MALE
Adelie,Dream,40.3,18.5,196,4350,MALE
Adelie,Dream,43.2,18.5,192,4100,MALE
Adelie,Biscoe,41,20,203,4725,MALE
Adelie,Biscoe,43.2,19,197,4775,MALE
Adelie,Biscoe,45.6,20.3,191,4600,MALE
Adelie,Biscoe,42.2,19.5,197,4275,MALE
Adelie,Biscoe,42.7,18.3,196,4075,MALE
Adelie,Torgersen,41.5,18.3,195,4300,MALE
Adelie,Dream,37.5,18.5,199,4475,MALE
Adelie,Dream,39.7,17.9,193,4250,MALE
Chinstrap,Dream,46,18.9,195,4150,FEMALE
Chinstrap,Dream,52,18.1,201,4050,MALE
Chinstrap,Dream,50.5,19.6,201,4050,MALE
Chinstrap,Dream,49.2,18.2,195,4400,MALE
Chinstrap,Dream,52,19,197,4150,MALE
Chinstrap,Dream,52.8,20,205,4550,MALE
Chinstrap,Dream,54.2,20.8,201,4300,MALE
Chinstrap,Dream,51,18.8,203,4100,MALE
Chinstrap,Dream,52,20.7,210,4800,MALE
Chinstrap,Dream,53.5,19.9,205,4500,MALE
Chinstrap,Dream,50.8,18.5,201,4450,MALE
Chinstrap,Dream,49,19.6,212,4300,MALE
Chinstrap,Dream,50.7,19.7,203,4050,MALE
Chinstrap,Dream,49.3,19.9,203,4050,MALE
Chinstrap,Dream,50.8,19,210,4100,MALE
Gentoo,Biscoe,46.1,13.2,211,4500,FEMALE
Gentoo,Biscoe,50,16.3,230,5700,MALE
Gentoo,Biscoe,48.7,14.1,210,4450,FEMALE
Gentoo,Biscoe,50,15.2,218,5700,MALE
Gentoo,Biscoe,47.6,14.5,215,5400,MALE
Gentoo,Biscoe,46.5,13.5,210,4550,FEMALE
Gentoo,Biscoe,45.4,14.6,211,4800,FEMALE
Gentoo,Biscoe,46.7,15.3,219,5200,MALE
Gentoo,Biscoe,43.3,13.4,209,4400,FEMALE
Gentoo,Biscoe,46.8,15.4,215,5150,MALE
Gentoo,Biscoe,40.9,13.7,214,4650,FEMALE
Gentoo,Biscoe,49,16.1,216,5550,MALE
Gentoo,Biscoe,45.5,13.7,214,4650,FEMALE
Gentoo,Biscoe,48.4,14.6,213,5850,MALE
Gentoo,Biscoe,45.8,14.6,210,4200,FEMALE
Gentoo,Biscoe,49.3,15.7,217,5850,MALE
Gentoo,Biscoe,42,13.5,210,4150,FEMALE
Gentoo,Biscoe,49.2,15.2,221,6300,MALE
Gentoo,Biscoe,46.2,14.5,209,4800,FEMALE
Gentoo,Biscoe,48.7,15.1,222,5350,MALE
Gentoo,Biscoe,50.2,14.3,218,5700,MALE
Gentoo,Biscoe,45.1,14.5,215,5000,FEMALE
Gentoo,Biscoe,46.5,14.5,213,4400,FEMALE
Gentoo,Biscoe,46.3,15.8,215,5050,MALE
